Assignment,Link
ChatGPT Link,https://chat.openai.com/share/6e86c850-f215-4444-ad2f-7157b22da6a6
Collab,https://colab.research.google.com/drive/1-aaCIvBsQbmvHg8dtkvv_0AVCFU7APjP?usp=sharing
